Boatswain,boatswain,
!,!,n
Here,here,
",",",",s
master,master,
:,:,s
what,what,s
cheer,cheer,,topic_49,0,freq3,0,ig5,0,sal4,0
?,?,n
Good,good,,topic_28,0,freq1,0,ig5,0,sal5,0
",",",",s
speak,speak,s,topic_45,0,freq1,0,ig5,0,sal4,0
to,to,s
the,the,s
mariners,mariners,,topic_23,0,freq5,0,ig5,0,sal5,0
:,:,s
fall,fall,s,topic_37,0,freq4,0,ig5,0,sal5,0
to't,to't,,topic_0,0,freq2,0,ig5,0,sal1,0
",",",",s
yarely,yarely,,topic_35,0,freq5,0,ig2,0,sal5,0
",",",",n
or,or,s
we,we,s
run,run,s,topic_46,0,freq4,0,ig5,0,sal5,0
ourselves,ourselves,s
aground,aground,,topic_39,0,freq5,0,ig4,0,sal5,0
:,:,s
bestir,bestir,,topic_39,0,freq5,0,ig2,0,sal5,0
",",",",s
bestir,bestir,,topic_39,0,freq5,0,ig2,0,sal5,0
.,.,n
Heigh,heigh,,topic_22,0,freq5,0,ig5,0,sal5,0
",",",",s
my,my,s
hearts,hearts,,topic_20,0,freq2,0,ig5,0,sal2,0
!,!,s
cheerly,cheerly,,topic_39,0,freq4,0,ig5,0,sal4,0
",",",",s
cheerly,cheerly,,topic_39,0,freq4,0,ig5,0,sal4,0
",",",",s
my,my,s
hearts,hearts,,topic_20,0,freq2,0,ig5,0,sal2,0
!,!,n
yare,yare,,topic_39,0,freq4,0,ig1,0,sal3,0
",",",",s
yare,yare,,topic_39,0,freq4,0,ig1,0,sal3,0
!,!,s
Take,take,s
in,in,s
the,the,s
topsail,topsail,,topic_7,0,freq5,0,ig3,0,sal5,0
.,.,s
Tend,tend,s,topic_48,0,freq4,0,ig5,0,sal5,0
to,to,s
the,the,n
master's,master's,s,topic_44,0,freq3,0,ig5,0,sal2,0
whistle,whistle,,topic_33,0,freq4,0,ig1,0,sal3,0
.,.,s
Blow,blow,,topic_37,0,freq2,0,ig5,0,sal2,0
",",",",s
till,till,s,topic_29,0,freq3,0,ig5,0,sal5,0
thou,thou,s
burst,burst,s,topic_37,0,freq4,0,ig5,0,sal4,0
thy,thy,s
wind,wind,,topic_39,0,freq2,0,ig5,0,sal3,0
",",",",n
if,if,s
room,room,s,topic_5,0,freq4,0,ig5,0,sal5,0
enough,enough,
!,!,n
Good,good,s,topic_40,0,freq1,0,ig5,0,sal1,0
boatswain,boatswain,
",",",",s
have,have,s
care,care,,topic_46,0,freq3,0,ig5,0,sal4,0
.,.,s
Where's,where's,s
the,the,s
master,master,
?,?,n
Play,play,s,topic_16,0,freq2,0,ig5,0,sal2,0
the,the,s
men,men,,topic_38,0,freq1,0,ig5,0,sal4,0
.,.,n
I,i,s
pray,pray,s,topic_2,0,freq1,0,ig5,0,sal2,0
now,now,
