I,i,s
wonder,wonder,s
how,how,s
the,the,s
king,king,s
escaped,escaped,s,topic_30,0,freq4,0,ig4,0,sal4,0
our,our,s
hands,hands,,topic_21,0,freq2,0,ig5,0,sal3,0
.,.,n
While,while,s
we,we,s
pursued,pursued,s,topic_22,0,freq4,0,ig5,0,sal3,0
the,the,s
horsemen,horsemen,s,topic_33,0,freq4,0,ig1,0,sal4,0
of,of,s
the,the,s
north,north,,topic_38,0,freq4,0,ig5,0,sal4,0
",",",",n
He,he,s
slily,slily,s,topic_13,0,freq5,0,ig5,0,sal4,0
stole,stole,s,topic_15,0,freq2,0,ig5,0,sal2,0
away,away,s
and,and,s
left,left,s,topic_12,0,freq4,0,ig5,0,sal5,0
his,his,s
men,men,,topic_4,0,freq1,0,ig5,0,sal4,0
:,:,n
Whereat,whereat,s,topic_36,0,freq5,0,ig1,0,sal4,0
the,the,s
great,great,s,topic_19,0,freq2,0,ig5,0,sal5,0
Lord,lord,s
of,of,s
Northumberland,northumberland,
",",",",n
Whose,whose,s
warlike,warlike,s,topic_33,0,freq3,0,ig5,0,sal3,0
ears,ears,s,topic_34,0,freq3,0,ig5,0,sal3,0
could,could,s
never,never,s
brook,brook,s,topic_19,0,freq4,0,ig5,0,sal5,0
retreat,retreat,,topic_47,0,freq4,0,ig1,0,sal4,0
",",",",n
Cheer'd,cheer'd,s,topic_19,0,freq5,0,ig5,0,sal5,0
up,up,s
the,the,s
drooping,drooping,s,topic_29,0,freq4,0,ig5,0,sal4,0
army,army,,topic_33,0,freq2,0,ig1,0,sal2,0
;,;,s
and,and,s
himself,himself,
",",",",n
Lord,lord,s
Clifford,clifford,s
and,and,s
Lord,lord,s
Stafford,stafford,
",",",",s
all,all,s
abreast,abreast,,topic_4,0,freq5,0,ig5,0,sal5,0
",",",",n
Charged,charged,s,topic_12,0,freq3,0,ig4,0,sal2,0
our,our,s
main,main,s,topic_13,0,freq2,0,ig5,0,sal2,0
battle's,battle's,s,topic_33,0,freq5,0,ig1,0,sal5,0
front,front,,topic_4,0,freq3,0,ig4,0,sal2,0
",",",",s
and,and,s
breaking,breaking,s,topic_6,0,freq3,0,ig5,0,sal3,0
in,in,n
Were,were,s
by,by,s
the,the,s
swords,swords,s,topic_17,0,freq3,0,ig5,0,sal4,0
of,of,s
common,common,s,topic_17,0,freq2,0,ig5,0,sal3,0
soldiers,soldiers,s,topic_19,0,freq2,0,ig5,0,sal3,0
slain,slain,,topic_33,0,freq3,0,ig5,0,sal3,0
.,.,n
Lord,lord,s
Stafford's,stafford's,s,topic_33,0,freq5,0,ig1,0,sal5,0
father,father,
",",",",s
Duke,duke,s
of,of,s
Buckingham,buckingham,
",",",",n
Is,is,s
either,either,s
