Nay,nay,,topic_2,0,freq1,0,ig5,0,sal1,0
",",",",s
but,but,s
this,this,s
dotage,dotage,s,topic_44,0,freq5,0,ig5,0,sal5,0
of,of,s
our,our,s
general's,general's,n,topic_22,0,freq4,0,ig4,0,sal3,0
O'erflows,o'erflows,s,topic_24,0,freq5,0,ig2,0,sal5,0
the,the,s
measure,measure,,topic_18,0,freq4,0,ig5,0,sal5,0
:,:,s
those,those,s
his,his,s
goodly,goodly,s,topic_37,0,freq3,0,ig5,0,sal3,0
eyes,eyes,,topic_39,0,freq1,0,ig5,0,sal1,0
",",",",n
That,that,s
o'er,o'er,s,topic_39,0,freq1,0,ig5,0,sal1,0
the,the,s
files,files,s,topic_0,0,freq5,0,ig5,0,sal5,0
and,and,s
musters,musters,s,topic_35,0,freq5,0,ig5,0,sal4,0
of,of,s
the,the,s
war,war,n,topic_17,0,freq2,0,ig5,0,sal4,0
Have,have,s
glow'd,glow'd,s,topic_39,0,freq5,0,ig3,0,sal5,0
like,like,s
plated,plated,s,topic_9,0,freq5,0,ig2,0,sal5,0
Mars,mars,,topic_26,0,freq4,0,ig5,0,sal4,0
",",",",s
now,now,s
bend,bend,,topic_36,0,freq4,0,ig5,0,sal4,0
",",",",s
now,now,s
turn,turn,,topic_34,0,freq2,0,ig5,0,sal1,0
",",",",n
The,the,s
office,office,s,topic_22,0,freq3,0,ig5,0,sal4,0
and,and,s
devotion,devotion,s,topic_2,0,freq5,0,ig5,0,sal5,0
of,of,s
their,their,s
view,view,n,topic_21,0,freq4,0,ig5,0,sal4,0
Upon,upon,s
a,a,s
tawny,tawny,s,topic_20,0,freq5,0,ig5,0,sal5,0
front,front,,topic_36,0,freq5,0,ig5,0,sal5,0
:,:,s
his,his,s
captain's,captain's,s,topic_9,0,freq5,0,ig5,0,sal5,0
heart,heart,,topic_0,0,freq2,0,ig5,0,sal4,0
",",",",n
Which,which,s
in,in,s
the,the,s
scuffles,scuffles,s,topic_5,0,freq5,0,ig2,0,sal5,0
of,of,s
great,great,s,topic_49,0,freq1,0,ig5,0,sal2,0
fights,fights,s,topic_0,0,freq5,0,ig5,0,sal5,0
hath,hath,s,topic_9,0,freq1,0,ig5,0,sal4,0
burst,burst,n,topic_48,0,freq4,0,ig5,0,sal5,0
The,the,s
buckles,buckles,s,topic_23,0,freq5,0,ig5,0,sal5,0
on,on,s
his,his,s
breast,breast,,topic_9,0,freq3,0,ig5,0,sal4,0
",",",",s
reneges,reneges,s,topic_17,0,freq5,0,ig2,0,sal5,0
all,all,s
temper,temper,,topic_27,0,freq4,0,ig5,0,sal4,0
",",",",n
And,and,s
is,is,s
become,become,s
the,the,s
bellows,bellows,s,topic_41,0,freq5,0,ig2,0,sal5,0
and,and,s
the,the,s
fan,fan,n,topic_2,0,freq5,0,ig5,0,sal5,0
To,to,s
cool,cool,s,topic_39,0,freq4,0,ig5,0,sal4,0
a,a,s
gipsy's,gipsy's,s,topic_44,0,freq5,0,ig2,0,sal5,0
lust,lust,,topic_12,0,freq3,0,ig5,0,sal3,0
.,.,n
Look,look,
",",",",s
where,where,s
they,they,s
come,come,
:,:,n
Take,take,s
but,but,s
good,good,s,topic_2,0,freq1,0,ig5,0,sal1,0
note,note,,topic_32,0,freq3,0,ig5,0,sal5,0
",",",",s
and,and,s
you,you,s
shall,shall,s
see,see,s
in,in,s
him,him,
.,.,n
The,the,s
triple,triple,s,topic_39,0,freq5,0,ig5,0,sal5,0
pillar,pillar,s,topic_0,0,freq5,0,ig1,0,sal4,0
of,of,s
the,the,s
world,world,s,topic_0,0,freq1,0,ig5,0,sal3,0
transform'd,transform'd,n,topic_39,0,freq5,0,ig5,0,sal5,0
Into,into,s
a,a,s
strumpet's,strumpet's,s,topic_45,0,freq5,0,ig1,0,sal4,0
fool,fool,
:,:,s
behold,behold,s,topic_17,0,freq3,0,ig5,0,sal4,0
and,and,s
see,see,
.,.,n
If,if,s
it,it,s
be,be,s
love,love,s,topic_5,0,freq1,0,ig5,0,sal1,0
indeed,indeed,
",",",",s
tell,tell,s
me,me,s
how,how,s
much,much,
.,.,n
There's,there's,s
beggary,beggary,s,topic_45,0,freq5,0,ig5,0,sal5,0
in,in,s
the,the,s
love,love,s,topic_5,0,freq1,0,ig5,0,sal1,0
that,that,s
can,can,s
be,be,s
reckon'd,reckon'd,,topic_27,0,freq5,0,ig5,0,sal5,0
.,.,n
I'll,i'll,s
set,set,s,topic_36,0,freq1,0,ig5,0,sal2,0
a,a,s
bourn,bourn,s,topic_10,0,freq4,0,ig5,0,sal4,0
how,how,s
far,far,s
to,to,s
be,be,s
beloved,beloved,,topic_17,0,freq4,0,ig5,0,sal5,0
.,.,n
