Old,old,s
John,john,s
of,of,s
Gaunt,gaunt,
",",",",s
time-honour'd,time-honour'd,s,topic_36,0,freq5,0,ig3,0,sal5,0
Lancaster,lancaster,,topic_19,0,freq1,0,ig1,0,sal1,0
",",",",n
Hast,hast,s,topic_28,0,freq1,0,ig5,0,sal1,0
thou,thou,
",",",",s
according,according,s
to,to,s
thy,thy,s
oath,oath,s,topic_19,0,freq3,0,ig5,0,sal5,0
and,and,s
band,band,,topic_30,0,freq3,0,ig5,0,sal4,0
",",",",n
Brought,brought,s,topic_49,0,freq2,0,ig5,0,sal3,0
hither,hither,s
Henry,henry,s
Hereford,hereford,s,topic_24,0,freq3,0,ig1,0,sal2,0
thy,thy,s
bold,bold,s,topic_24,0,freq2,0,ig5,0,sal3,0
son,son,
",",",",n
Here,here,s
to,to,s
make,make,s,topic_8,0,freq1,0,ig5,0,sal4,0
good,good,s,topic_23,0,freq1,0,ig5,0,sal3,0
the,the,s
boisterous,boisterous,s,topic_24,0,freq5,0,ig5,0,sal5,0
late,late,s,topic_26,0,freq1,0,ig5,0,sal1,0
appeal,appeal,,topic_8,0,freq4,0,ig5,0,sal4,0
",",",",n
Which,which,s
then,then,s
our,our,s
leisure,leisure,s,topic_22,0,freq3,0,ig5,0,sal3,0
would,would,s
not,not,s
let,let,s
us,us,s
hear,hear,,topic_34,0,freq2,0,ig5,0,sal4,0
",",",",n
Against,against,s
the,the,s
Duke,duke,s
of,of,s
Norfolk,norfolk,
",",",",s
Thomas,thomas,s
Mowbray,mowbray,
?,?,n
I,i,s
have,have,
",",",",s
my,my,s
liege,liege,,topic_8,0,freq1,0,ig4,0,sal1,0
.,.,n
Tell,tell,s
me,me,
",",",",s
moreover,moreover,
",",",",s
hast,hast,s,topic_34,0,freq2,0,ig5,0,sal2,0
thou,thou,s
sounded,sounded,s,topic_24,0,freq4,0,ig4,0,sal3,0
him,him,
",",",",n
If,if,s
he,he,s
appeal,appeal,s,topic_8,0,freq4,0,ig5,0,sal4,0
the,the,s
duke,duke,s
on,on,s
ancient,ancient,s,topic_12,0,freq2,0,ig5,0,sal2,0
malice,malice,,topic_17,0,freq3,0,ig5,0,sal4,0
;,;,n
Or,or,s
worthily,worthily,,topic_17,0,freq4,0,ig5,0,sal3,0
",",",",s
as,as,s
a,a,s
good,good,s,topic_23,0,freq1,0,ig5,0,sal3,0
subject,subject,s,topic_8,0,freq3,0,ig5,0,sal3,0
should,should,
",",",",n
On,on,s
some,some,s
known,known,s
ground,ground,s,topic_34,0,freq5,0,ig5,0,sal5,0
of,of,s
treachery,treachery,s,topic_19,0,freq3,0,ig4,0,sal2,0
in,in,s
him,him,
?,?,n
As,as,s
near,near,s
as,as,s
I,i,s
