I,i,s
thought,thought,s,topic_25,0,freq1,0,ig5,0,sal1,0
the,the,s
king,king,s
had,had,s
more,more,s
affected,affected,s,topic_6,0,freq3,0,ig5,0,sal3,0
the,the,s
Duke,duke,s
of,of,n
Albany,albany,s
than,than,s
Cornwall,cornwall,
.,.,n
It,it,s
did,did,s
always,always,s
seem,seem,s
so,so,s
to,to,s
us,us,
:,:,s
but,but,s
now,now,
",",",",s
in,in,s
the,the,n
division,division,s,topic_12,0,freq4,0,ig5,0,sal3,0
of,of,s
the,the,s
kingdom,kingdom,,topic_8,0,freq2,0,ig4,0,sal1,0
",",",",s
it,it,s
appears,appears,s,topic_27,0,freq3,0,ig4,0,sal1,0
not,not,s
which,which,s
of,of,n
the,the,s
dukes,dukes,s,topic_15,0,freq3,0,ig5,0,sal4,0
he,he,s
values,values,s,topic_5,0,freq5,0,ig5,0,sal5,0
most,most,
;,;,s
for,for,s
equalities,equalities,s,topic_39,0,freq5,0,ig3,0,sal5,0
are,are,s
so,so,n
weighed,weighed,,topic_3,0,freq5,0,ig5,0,sal5,0
",",",",s
that,that,s
curiosity,curiosity,s,topic_4,0,freq5,0,ig1,0,sal4,0
in,in,s
neither,neither,s
can,can,s
make,make,s,topic_8,0,freq1,0,ig5,0,sal4,0
choice,choice,n,topic_44,0,freq4,0,ig5,0,sal5,0
of,of,s
either's,either's,s,topic_20,0,freq5,0,ig5,0,sal5,0
moiety,moiety,,topic_49,0,freq4,0,ig4,0,sal3,0
.,.,n
Is,is,s
not,not,s
this,this,s
your,your,s
son,son,
",",",",s
my,my,s
lord,lord,
?,?,n
His,his,s
breeding,breeding,,topic_25,0,freq3,0,ig5,0,sal3,0
",",",",s
sir,sir,
",",",",s
hath,hath,s,topic_42,0,freq1,0,ig5,0,sal4,0
been,been,s
at,at,s
my,my,s
charge,charge,,topic_11,0,freq2,0,ig5,0,sal3,0
:,:,s
I,i,s
have,have,n
so,so,s
often,often,s
blushed,blushed,s,topic_41,0,freq4,0,ig1,0,sal4,0
to,to,s
acknowledge,acknowledge,s,topic_49,0,freq4,0,ig1,0,sal2,0
him,him,
",",",",s
that,that,s
now,now,s
I,i,s
am,am,n
brazed,brazed,s,topic_38,0,freq5,0,ig3,0,sal5,0
to,to,s
it,it,
.,.,n
I,i,s
cannot,cannot,s
conceive,conceive,s,topic_48,0,freq3,0,ig4,0,sal1,0
you,you,
.,.,n
Sir,sir,
",",",",s
this,this,s
young,young,s,topic_48,0,freq2,0,ig5,0,sal3,0
fellow's,fellow's,s,topic_4,0,freq5,0,ig5,0,sal4,0
mother,mother,s
could,could,
:,:,s
whereupon,whereupon,n
she,she,s
grew,grew,s,topic_24,0,freq3,0,ig4,0,sal2,0
round-wombed,round-wombed,,topic_5,0,freq5,0,ig3,0,sal5,0
",",",",s
and,and,s
had,had,
",",",",s
indeed,indeed,
",",",",s
sir,sir,
",",",",s
a,a,s
son,son,n
for,for,s
her,her,s
cradle,cradle,s,topic_24,0,freq5,0,ig5,0,sal5,0
ere,ere,s,topic_48,0,freq2,0,ig5,0,sal5,0
she,she,s
had,had,s
a,a,s
husband,husband,s,topic_11,0,freq1,0,ig5,0,sal1,0
for,for,s
her,her,s
bed,bed,,topic_10,0,freq1,0,ig5,0,sal2,0
.,.,n
Do,do,s
you,you,s
smell,smell,s,topic_44,0,freq3,0,ig5,0,sal3,0
a,a,s
fault,fault,,topic_27,0,freq3,0,ig5,0,sal4,0
?,?,n
I,i,s
cannot,cannot,s
wish,wish,s
the,the,s
fault,fault,s,topic_42,0,freq1,0,ig5,0,sal3,0
undone,undone,,topic_42,0,freq2,0,ig5,0,sal3,0
",",",",s
the,the,s
issue,issue,s,topic_25,0,freq2,0,ig5,0,sal3,0
of,of,s
it,it,n
being,being,s
so,so,s
proper,proper,,topic_22,0,freq2,0,ig5,0,sal2,0
.,.,n
But,but,s
I,i,s
have,have,
",",",",s
sir,sir,
",",",",s
a,a,s
son,son,s
by,by,s
order,order,s,topic_24,0,freq4,0,ig5,0,sal5,0
of,of,s
law,law,,topic_27,0,freq1,0,ig5,0,sal1,0
",",",",s
some,some,s
year,year,n,topic_4,0,freq2,0,ig5,0,sal1,0
elder,elder,s,topic_48,0,freq3,0,ig5,0,sal3,0
than,than,s
this,this,
",",",",s
who,who,s
yet,yet,s
is,is,s
no,no,s
dearer,dearer,s,topic_12,0,freq3,0,ig1,0,sal2,0
in,in,s
my,my,s
account,account,,topic_47,0,freq3,0,ig5,0,sal3,0
:,:,n
though,though,s
this,this,s
knave,knave,s,topic_42,0,freq2,0,ig5,0,sal4,0
came,came,s
something,something,s
saucily,saucily,s,topic_5,0,freq5,0,ig2,0,sal5,0
into,into,s
the,the,n
world,world,s,topic_46,0,freq2,0,ig5,0,sal2,0
before,before,s
he,he,s
was,was,s
sent,sent,s
for,for,
",",",",s
yet,yet,s
was,was,s
his,his,s
mother,mother,n
fair,fair,,topic_1,0,freq3,0,ig5,0,sal5,0
;,;,s
there,there,s
was,was,s
good,good,s,topic_49,0,freq1,0,ig5,0,sal4,0
sport,sport,s,topic_42,0,freq3,0,ig5,0,sal5,0
at,at,s
his,his,s
making,making,,topic_39,0,freq2,0,ig5,0,sal3,0
",",",",s
and,and,s
the,the,n
whoreson,whoreson,s,topic_40,0,freq3,0,ig1,0,sal2,0
