When,when,s
shall,shall,s
we,we,s
three,three,s
meet,meet,s,topic_23,0,freq3,0,ig5,0,sal4,0
again,again,n
In,in,s
thunder,thunder,,topic_12,0,freq3,0,ig5,0,sal3,0
",",",",s
lightning,lightning,,topic_9,0,freq4,0,ig1,0,sal3,0
",",",",s
or,or,s
in,in,s
rain,rain,,topic_12,0,freq2,0,ig4,0,sal1,0
?,?,n
When,when,s
the,the,s
hurlyburly's,hurlyburly's,s,topic_24,0,freq5,0,ig4,0,sal5,0
done,done,
",",",",n
When,when,s
the,the,s
battle's,battle's,s,topic_33,0,freq5,0,ig1,0,sal5,0
lost,lost,s,topic_3,0,freq2,0,ig5,0,sal4,0
and,and,s
won,won,,topic_24,0,freq3,0,ig5,0,sal3,0
.,.,n
That,that,s
will,will,s
be,be,s
ere,ere,s,topic_0,0,freq1,0,ig5,0,sal2,0
the,the,s
set,set,s,topic_13,0,freq3,0,ig5,0,sal5,0
of,of,s
sun,sun,,topic_33,0,freq3,0,ig5,0,sal5,0
.,.,n
Where,where,s
the,the,s
place,place,,topic_35,0,freq1,0,ig5,0,sal2,0
?,?,n
Upon,upon,s
the,the,s
heath,heath,,topic_3,0,freq5,0,ig5,0,sal5,0
.,.,n
There,there,s
to,to,s
meet,meet,s,topic_33,0,freq2,0,ig5,0,sal4,0
with,with,s
Macbeth,macbeth,
.,.,n
I,i,s
come,come,
",",",",s
Graymalkin,graymalkin,,topic_35,0,freq5,0,ig3,0,sal5,0
!,!,n
Paddock,paddock,s,topic_39,0,freq5,0,ig2,0,sal5,0
calls,calls,,topic_28,0,freq4,0,ig5,0,sal5,0
.,.,n
Anon,anon,,topic_37,0,freq2,0,ig4,0,sal1,0
.,.,n
Fair,fair,s,topic_43,0,freq1,0,ig5,0,sal1,0
is,is,s
foul,foul,,topic_30,0,freq1,0,ig5,0,sal3,0
",",",",s
and,and,s
foul,foul,s,topic_30,0,freq1,0,ig5,0,sal3,0
is,is,s
fair,fair,,topic_43,0,freq1,0,ig5,0,sal1,0
:,:,n
Hover,hover,s,topic_12,0,freq5,0,ig5,0,sal4,0
through,through,s
the,the,s
fog,fog,s,topic_28,0,freq5,0,ig1,0,sal4,0
and,and,s
filthy,filthy,s,topic_40,0,freq4,0,ig5,0,sal3,0
air,air,,topic_3,0,freq2,0,ig5,0,sal1,0
.,.,n
What,what,s
bloody,bloody,s,topic_3,0,freq4,0,ig5,0,sal5,0
man,man,s
is,is,s
that,that,
?,?,s
He,he,s
can,can,s
report,report,,topic_3,0,freq3,0,ig5,0,sal3,0
",",",",n
As,as,s
seemeth,seemeth,s,topic_24,0,freq5,0,ig5,0,sal5,0
by,by,s
his,his,s
plight,plight,,topic_12,0,freq4,0,ig1,0,sal3,0
",",",",s
of,of,s
the,the,s
revolt,revolt,n,topic_47,0,freq3,0,ig4,0,sal1,0
The,the,s
newest,newest,s,topic_30,0,freq5,0,ig5,0,sal5,0
state,state,,topic_27,0,freq2,0,ig5,0,sal4,0
.,.,n
This,this,s
is,is,s
