Escalus,escalus,
.,.,n
My,my,s
lord,lord,
.,.,n
Of,of,s
government,government,s,topic_1,0,freq4,0,ig5,0,sal5,0
the,the,s
properties,properties,s,topic_3,0,freq5,0,ig5,0,sal5,0
to,to,s
unfold,unfold,,topic_22,0,freq4,0,ig5,0,sal4,0
",",",",n
Would,would,s
seem,seem,s
in,in,s
me,me,s
to,to,s
affect,affect,s,topic_41,0,freq4,0,ig5,0,sal4,0
speech,speech,s,topic_27,0,freq2,0,ig5,0,sal3,0
and,and,s
discourse,discourse,,topic_14,0,freq2,0,ig5,0,sal3,0
;,;,n
Since,since,s
I,i,s
am,am,s
put,put,s,topic_41,0,freq1,0,ig5,0,sal2,0
to,to,s
know,know,s
that,that,s
your,your,s
own,own,s
science,science,n,topic_7,0,freq5,0,ig5,0,sal5,0
Exceeds,exceeds,,topic_14,0,freq4,0,ig1,0,sal3,0
",",",",s
in,in,s
that,that,
",",",",s
the,the,s
lists,lists,s,topic_19,0,freq4,0,ig1,0,sal3,0
of,of,s
all,all,s
advice,advice,n,topic_26,0,freq3,0,ig5,0,sal3,0
My,my,s
strength,strength,s,topic_33,0,freq2,0,ig5,0,sal3,0
can,can,s
give,give,s,topic_45,0,freq1,0,ig5,0,sal3,0
you,you,
:,:,s
then,then,s
no,no,s
more,more,s
remains,remains,,topic_17,0,freq3,0,ig5,0,sal3,0
",",",",n
But,but,s
that,that,s
to,to,s
your,your,s
sufficiency,sufficiency,s,topic_7,0,freq5,0,ig5,0,sal5,0
[,[,s
],],n
[,[,s
],],s
as,as,s
your,your,s
Worth,worth,s,topic_14,0,freq1,0,ig5,0,sal3,0
is,is,s
able,able,
",",",",n
And,and,s
let,let,s
them,them,s
work,work,,topic_14,0,freq3,0,ig5,0,sal5,0
.,.,s
The,the,s
nature,nature,s,topic_25,0,freq1,0,ig5,0,sal1,0
of,of,s
our,our,s
people,people,,topic_17,0,freq1,0,ig1,0,sal1,0
",",",",n
Our,our,s
city's,city's,s,topic_38,0,freq4,0,ig1,0,sal3,0
institutions,institutions,,topic_14,0,freq5,0,ig3,0,sal5,0
",",",",s
and,and,s
the,the,s
terms,terms,n,topic_45,0,freq3,0,ig5,0,sal4,0
For,for,s
common,common,s,topic_17,0,freq2,0,ig5,0,sal3,0
justice,justice,
",",",",s
you're,you're,s
as,as,s
pregnant,pregnant,s,topic_45,0,freq4,0,ig4,0,sal3,0
in,in,n
As,as,s
art,art,s,topic_28,0,freq1,0,ig5,0,sal1,0
and,and,s
practise,practise,s,topic_45,0,freq2,0,ig4,0,sal1,0
hath,hath,s,topic_22,0,freq1,0,ig5,0,sal1,0
enriched,enriched,s,topic_15,0,freq4,0,ig1,0,sal3,0
any,any,n
That,that,s
we,we,s
remember,remember,,topic_49,0,freq4,0,ig5,0,sal5,0
.,.,s
There,there,s
is,is,s
our,our,s
commission,commission,,topic_49,0,freq3,0,ig5,0,sal3,0
",",",",n
From,from,s
which,which,s
we,we,s
would,would,s
not,not,s
have,have,s
you,you,s
warp,warp,,topic_15,0,freq5,0,ig5,0,sal5,0
.,.,s
Call,call,s,topic_1,0,freq1,0,ig5,0,sal3,0
hither,hither,
",",",",n
I,i,s
say,say,
",",",",s
bid,bid,s,topic_23,0,freq3,0,ig5,0,sal3,0
come,come,s
before,before,s
us,us,s
Angelo,angelo,
.,.,n
What,what,s
figure,figure,s,topic_16,0,freq4,0,ig5,0,sal4,0
of,of,s
us,us,s
think,think,s
you,you,s
he,he,s
will,will,s
bear,bear,,topic_2,0,freq2,0,ig5,0,sal4,0
?,?,n
For,for,s
you,you,s
must,must,s
know,know,
",",",",s
we,we,s
have,have,s
with,with,s
special,special,s,topic_7,0,freq3,0,ig5,0,sal3,0
soul,soul,n,topic_16,0,freq1,0,ig5,0,sal2,0
Elected,elected,s,topic_44,0,freq5,0,ig5,0,sal5,0
him,him,s
our,our,s
absence,absence,s,topic_27,0,freq4,0,ig5,0,sal5,0
to,to,s
supply,supply,,topic_20,0,freq4,0,ig5,0,sal4,0
",",",",n
Lent,lent,s,topic_41,0,freq4,0,ig5,0,sal4,0
him,him,s
our,our,s
terror,terror,,topic_24,0,freq4,0,ig5,0,sal5,0
",",",",s
dress'd,dress'd,s,topic_16,0,freq5,0,ig5,0,sal5,0
him,him,s
with,with,s
our,our,s
love,love,,topic_5,0,freq1,0,ig5,0,sal1,0
",",",",n
And,and,s
given,given,s
his,his,s
deputation,deputation,s,topic_1,0,freq5,0,ig4,0,sal4,0
all,all,s
the,the,s
organs,organs,n,topic_16,0,freq5,0,ig5,0,sal4,0
Of,of,s
our,our,s
own,own,s
power,power,,topic_17,0,freq1,0,ig5,0,sal3,0
:,:,s
what,what,s
think,think,s
you,you,s
of,of,s
it,it,
?,?,n
If,if,s
any,any,s
in,in,s
Vienna,vienna,s
be,be,s
of,of,s
worth,worth,n,topic_14,0,freq1,0,ig5,0,sal3,0
To,to,s
undergo,undergo,s,topic_40,0,freq5,0,ig5,0,sal5,0
such,such,s
ample,ample,s,topic_14,0,freq3,0,ig1,0,sal2,0
grace,grace,s,topic_24,0,freq1,0,ig5,0,sal1,0
and,and,s
honour,honour,,topic_49,0,freq1,0,ig5,0,sal1,0
",",",",n
It,it,s
is,is,s
Lord,lord,s
Angelo,angelo,
.,.,n
Look,look,s
where,where,s
he,he,s
comes,comes,
.,.,n
Always,always,s
obedient,obedient,s,topic_1,0,freq3,0,ig1,0,sal2,0
to,to,s
your,your,s
grace's,grace's,s,topic_12,0,freq5,0,ig5,0,sal5,0
will,will,
",",",",n
I,i,s
come,come,s
to,to,s
know,know,s
your,your,s
pleasure,pleasure,,topic_49,0,freq2,0,ig5,0,sal2,0
.,.,n
Angelo,angelo,
",",",",n
There,there,s
is,is,s
a,a,s
kind,kind,s,topic_22,0,freq2,0,ig5,0,sal5,0
of,of,s
character,character,s,topic_22,0,freq4,0,ig5,0,sal4,0
in,in,s
thy,thy,s
life,life,,topic_22,0,freq1,0,ig5,0,sal1,0
",",",",n
That,that,s
to,to,s
the,the,s
observer,observer,s,topic_14,0,freq5,0,ig2,0,sal4,0
doth,doth,s,topic_48,0,freq4,0,ig5,0,sal5,0
thy,thy,s
history,history,n,topic_32,0,freq4,0,ig5,0,sal5,0
Fully,fully,s,topic_17,0,freq4,0,ig5,0,sal3,0
unfold,unfold,,topic_22,0,freq4,0,ig5,0,sal4,0
.,.,s
Thyself,thyself,s,topic_28,0,freq2,0,ig5,0,sal2,0
and,and,s
thy,thy,s
belongings,belongings,n,topic_44,0,freq5,0,ig3,0,sal5,0
Are,are,s
not,not,s
thine,thine,s,topic_45,0,freq3,0,ig5,0,sal5,0
own,own,s
so,so,s
proper,proper,s,topic_22,0,freq2,0,ig5,0,sal2,0
as,as,s
to,to,s
