Tush,tush,,topic_22,0,freq5,0,ig5,0,sal5,0
!,!,s
never,never,s
tell,tell,s
me,me,
;,;,s
I,i,s
take,take,s
it,it,s
much,much,s
unkindly,unkindly,n,topic_9,0,freq5,0,ig4,0,sal5,0
That,that,s
thou,thou,
",",",",s
Iago,iago,
",",",",s
who,who,s
hast,hast,s,topic_28,0,freq1,0,ig5,0,sal1,0
had,had,s
my,my,s
purse,purse,n,topic_7,0,freq5,0,ig5,0,sal5,0
As,as,s
if,if,s
the,the,s
strings,strings,s,topic_39,0,freq4,0,ig5,0,sal4,0
were,were,s
thine,thine,,topic_28,0,freq2,0,ig5,0,sal2,0
",",",",s
shouldst,shouldst,s,topic_28,0,freq3,0,ig5,0,sal3,0
know,know,s
of,of,s
this,this,
.,.,n
',',
Sblood,sblood,,topic_40,0,freq4,0,ig1,0,sal3,0
",",",",s
but,but,s
you,you,s
will,will,s
not,not,s
hear,hear,s,topic_27,0,freq1,0,ig5,0,sal4,0
me,me,
:,:,n
If,if,s
ever,ever,s
I,i,s
did,did,s
dream,dream,s,topic_10,0,freq1,0,ig4,0,sal1,0
of,of,s
such,such,s
a,a,s
matter,matter,,topic_40,0,freq2,0,ig5,0,sal4,0
",",",",s
Abhor,abhor,s,topic_7,0,freq5,0,ig5,0,sal5,0
me,me,
.,.,n
Thou,thou,s
told'st,told'st,s,topic_40,0,freq5,0,ig5,0,sal5,0
me,me,s
thou,thou,s
didst,didst,s,topic_28,0,freq2,0,ig5,0,sal3,0
hold,hold,s,topic_36,0,freq2,0,ig5,0,sal4,0
him,him,s
in,in,s
thy,thy,s
hate,hate,,topic_28,0,freq4,0,ig5,0,sal5,0
.,.,n
Despise,despise,s,topic_41,0,freq5,0,ig5,0,sal5,0
me,me,
",",",",s
if,if,s
I,i,s
do,do,s
not,not,
.,.,s
Three,three,s
great,great,s,topic_49,0,freq1,0,ig5,0,sal2,0
ones,ones,s
of,of,s
the,the,s
city,city,,topic_17,0,freq2,0,ig5,0,sal2,0
",",",",n
In,in,s
personal,personal,s,topic_23,0,freq4,0,ig5,0,sal4,0
suit,suit,s,topic_11,0,freq3,0,ig5,0,sal3,0
to,to,s
make,make,s,topic_22,0,freq2,0,ig5,0,sal5,0
me,me,s
his,his,s
lieutenant,lieutenant,
",",",",n
Off-capp'd,off-capp'd,s,topic_49,0,freq5,0,ig4,0,sal5,0
to,to,s
him,him,
:,:,s
and,and,
",",",",s
by,by,s
the,the,s
faith,faith,s,topic_18,0,freq1,0,ig5,0,sal1,0
of,of,s
man,man,
",",",",n
I,i,s
know,know,s
my,my,s
price,price,,topic_41,0,freq3,0,ig5,0,sal3,0
",",",",s
I,i,s
am,am,s
worth,worth,s,topic_25,0,freq2,0,ig5,0,sal4,0
no,no,s
worse,worse,s,topic_41,0,freq4,0,ig5,0,sal5,0
a,a,s
place,place,,topic_35,0,freq1,0,ig5,0,sal2,0
:,:,n
But,but,s
he,he,
;,;,s
as,as,s
loving,loving,s,topic_5,0,freq3,0,ig5,0,sal4,0
his,his,s
own,own,s
pride,pride,s,topic_19,0,freq3,0,ig5,0,sal5,0
and,and,s
purposes,purposes,,topic_3,0,freq3,0,ig5,0,sal2,0
",",",",n
Evades,evades,s,topic_29,0,freq5,0,ig3,0,sal5,0
them,them,
",",",",s
with,with,s
a,a,s
bombast,bombast,s,topic_4,0,freq5,0,ig5,0,sal5,0
circumstance,circumstance,n,topic_5,0,freq5,0,ig5,0,sal5,0
Horribly,horribly,s,topic_41,0,freq4,0,ig5,0,sal5,0
stuff'd,stuff'd,s,topic_28,0,freq5,0,ig5,0,sal5,0
with,with,s
epithets,epithets,s,topic_44,0,freq5,0,ig5,0,sal5,0
of,of,s
war,war,,topic_17,0,freq2,0,ig5,0,sal4,0
;,;,n
And,and,
",",",",s
in,in,s
conclusion,conclusion,,topic_28,0,freq4,0,ig4,0,sal4,0
",",",",n
Nonsuits,nonsuits,s,topic_40,0,freq5,0,ig4,0,sal5,0
my,my,s
mediators,mediators,,topic_14,0,freq5,0,ig3,0,sal5,0
;,;,s
for,for,
",",",",s
',',
Certes,certes,,topic_11,0,freq5,0,ig5,0,sal5,0
",",",",
',',s
says,says,s
he,he,
",",",",n
',',
I,i,s
have,have,s
already,already,s
chose,chose,s,topic_25,0,freq4,0,ig1,0,sal2,0
my,my,s
officer,officer,
.,.,
',',n
And,and,s
what,what,s
was,was,s
he,he,
?,?,n
Forsooth,forsooth,,topic_19,0,freq4,0,ig5,0,sal5,0
",",",",s
a,a,s
great,great,s,topic_0,0,freq3,0,ig5,0,sal5,0
arithmetician,arithmetician,,topic_46,0,freq5,0,ig4,0,sal5,0
",",",",n
One,one,s
Michael,michael,s
Cassio,cassio,
",",",",s
a,a,s
Florentine,florentine,,topic_45,0,freq4,0,ig1,0,sal3,0
",",",",n
A,a,s
fellow,fellow,s,topic_40,0,freq1,0,ig5,0,sal3,0
almost,almost,s
damn'd,damn'd,s,topic_16,0,freq3,0,ig4,0,sal1,0
in,in,s
a,a,s
fair,fair,s,topic_43,0,freq1,0,ig5,0,sal1,0
wife,wife,
;,;,n
That,that,s
never,never,s
set,set,s,topic_40,0,freq2,0,ig5,0,sal5,0
a,a,s
squadron,squadron,s,topic_18,0,freq5,0,ig4,0,sal5,0
in,in,s
the,the,s
field,field,,topic_33,0,freq1,0,ig5,0,sal2,0
",",",",n
Nor,nor,s
the,the,s
division,division,s,topic_23,0,freq5,0,ig5,0,sal5,0
of,of,s
a,a,s
battle,battle,s,topic_33,0,freq1,0,ig1,0,sal1,0
knows,knows,n
More,more,s
than,than,s
a,a,s
spinster,spinster,,topic_16,0,freq5,0,ig4,0,sal5,0
;,;,s
unless,unless,s
the,the,s
bookish,bookish,s,topic_12,0,freq5,0,ig1,0,sal4,0
theoric,theoric,,topic_41,0,freq5,0,ig5,0,sal5,0
",",",",n
Wherein,wherein,s
the,the,s
toged,toged,s,topic_41,0,freq5,0,ig4,0,sal5,0
consuls,consuls,s,topic_17,0,freq4,0,ig1,0,sal4,0
can,can,s
propose,propose,n,topic_37,0,freq5,0,ig5,0,sal5,0
As,as,s
masterly,masterly,s,topic_42,0,freq5,0,ig5,0,sal5,0
as,as,s
he,he,
:,:,s
mere,mere,s,topic_14,0,freq2,0,ig5,0,sal3,0
prattle,prattle,,topic_24,0,freq5,0,ig5,0,sal5,0
",",",",s
without,without,s
practise,practise,,topic_48,0,freq5,0,ig5,0,sal5,0
",",",",n
Is,is,s
all,all,s
his,his,s
soldiership,soldiership,,topic_3,0,freq4,0,ig5,0,sal4,0
.,.,s
But,but,s
he,he,
",",",",s
sir,sir,
",",",",s
had,had,s
the,the,s
election,election,,topic_28,0,freq5,0,ig5,0,sal5,0
:,:,n
And,and,s
I,i,
",",",",s
of,of,s
whom,whom,s
his,his,s
eyes,eyes,s,topic_39,0,freq1,0,ig5,0,sal1,0
had,had,s
seen,seen,s
the,the,s
proof,proof,n,topic_18,0,freq4,0,ig5,0,sal4,0
At,at,s
Rhodes,rhodes,,topic_25,0,freq5,0,ig1,0,sal4,0
",",",",s
at,at,s
Cyprus,cyprus,s,topic_25,0,freq3,0,ig4,0,sal2,0
and,and,s
on,on,s
other,other,s
grounds,grounds,n,topic_16,0,freq4,0,ig5,0,sal4,0
Christian,christian,s,topic_20,0,freq2,0,ig5,0,sal2,0
and,and,s
heathen,heathen,,topic_41,0,freq5,0,ig5,0,sal5,0
",",",",s
must,must,s
be,be,s
be-lee'd,be-lee'd,s,topic_3,0,freq5,0,ig4,0,sal5,0
