Two,two,s
households,households,,topic_42,0,freq5,0,ig2,0,sal4,0
",",",",s
both,both,s
alike,alike,s,topic_17,0,freq4,0,ig5,0,sal4,0
in,in,s
dignity,dignity,,topic_8,0,freq3,0,ig4,0,sal2,0
",",",",n
In,in,s
fair,fair,s,topic_43,0,freq1,0,ig5,0,sal1,0
Verona,verona,,topic_48,0,freq4,0,ig5,0,sal2,0
",",",",s
where,where,s
we,we,s
lay,lay,s,topic_34,0,freq4,0,ig5,0,sal4,0
our,our,s
scene,scene,,topic_32,0,freq3,0,ig5,0,sal4,0
",",",",n
From,from,s
ancient,ancient,s,topic_12,0,freq2,0,ig5,0,sal2,0
grudge,grudge,s,topic_5,0,freq5,0,ig5,0,sal5,0
break,break,s,topic_43,0,freq1,0,ig5,0,sal2,0
to,to,s
new,new,s
mutiny,mutiny,,topic_36,0,freq4,0,ig4,0,sal3,0
",",",",n
Where,where,s
civil,civil,s,topic_13,0,freq2,0,ig5,0,sal1,0
blood,blood,s,topic_38,0,freq1,0,ig5,0,sal1,0
makes,makes,s,topic_12,0,freq1,0,ig5,0,sal2,0
civil,civil,s,topic_13,0,freq2,0,ig5,0,sal1,0
hands,hands,s,topic_13,0,freq2,0,ig5,0,sal4,0
unclean,unclean,,topic_5,0,freq5,0,ig5,0,sal5,0
.,.,n
From,from,s
forth,forth,s
the,the,s
fatal,fatal,s,topic_21,0,freq3,0,ig1,0,sal1,0
loins,loins,s,topic_27,0,freq5,0,ig5,0,sal5,0
of,of,s
these,these,s
two,two,s
foes,foes,n,topic_19,0,freq2,0,ig5,0,sal2,0
A,a,s
pair,pair,s,topic_5,0,freq4,0,ig5,0,sal4,0
of,of,s
star-cross'd,star-cross'd,s,topic_13,0,freq5,0,ig4,0,sal5,0
lovers,lovers,s,topic_32,0,freq2,0,ig5,0,sal3,0
take,take,s
their,their,s
life,life,,topic_13,0,freq1,0,ig5,0,sal4,0
;,;,n
Whole,whole,s
misadventured,misadventured,s,topic_13,0,freq5,0,ig4,0,sal5,0
piteous,piteous,s,topic_21,0,freq4,0,ig5,0,sal3,0
overthrows,overthrows,n,topic_49,0,freq5,0,ig4,0,sal5,0
Do,do,s
with,with,s
their,their,s
death,death,s,topic_21,0,freq1,0,ig5,0,sal1,0
bury,bury,s,topic_29,0,freq3,0,ig5,0,sal3,0
their,their,s
parents,parents,,topic_12,0,freq4,0,ig5,0,sal3,0
',',s
strife,strife,,topic_38,0,freq3,0,ig1,0,sal2,0
.,.,n
The,the,s
fearful,fearful,s,topic_47,0,freq3,0,ig5,0,sal3,0
passage,passage,s,topic_38,0,freq3,0,ig5,0,sal3,0
of,of,s
their,their,s
death-mark'd,death-mark'd,s,topic_41,0,freq5,0,ig4,0,sal5,0
love,love,,topic_5,0,freq1,0,ig5,0,sal1,0
",",",",n
And,and,s
the,the,s
continuance,continuance,s,topic_22,0,freq4,0,ig1,0,sal3,0
of,of,s
their,their,s
parents,parents,,topic_12,0,freq4,0,ig5,0,sal3,0
',',s
rage,rage,,topic_12,0,freq3,0,ig5,0,sal4,0
",",",",n
Which,which,
",",",",s
but,but,s
their,their,s
children's,children's,s,topic_33,0,freq4,0,ig4,0,sal4,0
end,end,,topic_13,0,freq1,0,ig5,0,sal2,0
",",",",s
nought,nought,s,topic_13,0,freq4,0,ig5,0,sal5,0
could,could,s
remove,remove,,topic_1,0,freq4,0,ig5,0,sal3,0
",",",",n
Is,is,s
now,now,s
the,the,s
two,two,s
hours,hours,,topic_0,0,freq2,0,ig5,0,sal1,0
',',s
traffic,traffic,s,topic_44,0,freq4,0,ig1,0,sal3,0
of,of,s
our,our,s
stage,stage,,topic_3,0,freq3,0,ig1,0,sal2,0
;,;,n
The,the,s
which,which,s
if,if,s
you,you,s
with,with,s
patient,patient,s,topic_13,0,freq3,0,ig5,0,sal3,0
ears,ears,s,topic_34,0,freq3,0,ig5,0,sal3,0
attend,attend,,topic_49,0,freq3,0,ig5,0,sal4,0
",",",",n
What,what,s
here,here,s
shall,shall,s
miss,miss,,topic_31,0,freq4,0,ig5,0,sal4,0
",",",",s
our,our,s
toil,toil,s,topic_33,0,freq4,0,ig5,0,sal5,0
shall,shall,s
strive,strive,s,topic_45,0,freq3,0,ig1,0,sal1,0
to,to,s
mend,mend,,topic_17,0,freq4,0,ig5,0,sal5,0
.,.,n
Gregory,gregory,
",",",",s
o,o,
',',s
my,my,s
word,word,,topic_34,0,freq2,0,ig5,0,sal2,0
",",",",s
we'll,we'll,s
not,not,s
carry,carry,s,topic_49,0,freq4,0,ig5,0,sal5,0
coals,coals,,topic_38,0,freq4,0,ig1,0,sal3,0
.,.,n
No,no,
",",",",s
for,for,s
then,then,s
we,we,s
should,should,s
be,be,s
colliers,colliers,,topic_14,0,freq5,0,ig5,0,sal5,0
.,.,n
I,i,s
mean,mean,
",",",",s
an,an,s
we,we,s
be,be,s
in,in,s
choler,choler,,topic_13,0,freq4,0,ig5,0,sal5,0
",",",",s
we'll,we'll,s
draw,draw,,topic_13,0,freq2,0,ig5,0,sal3,0
.,.,n
Ay,ay,,topic_1,0,freq1,0,ig5,0,sal1,0
",",",",s
while,while,s
you,you,s
live,live,,topic_40,0,freq2,0,ig5,0,sal5,0
",",",",s
