If,if,s
you,you,s
shall,shall,s
chance,chance,,topic_29,0,freq3,0,ig5,0,sal5,0
",",",",s
Camillo,camillo,
",",",",s
to,to,s
visit,visit,s,topic_31,0,freq3,0,ig5,0,sal4,0
Bohemia,bohemia,,topic_25,0,freq3,0,ig1,0,sal2,0
",",",",s
on,on,n
the,the,s
like,like,s
occasion,occasion,s,topic_41,0,freq2,0,ig5,0,sal2,0
whereon,whereon,s,topic_35,0,freq3,0,ig1,0,sal2,0
my,my,s
services,services,s,topic_25,0,freq3,0,ig4,0,sal1,0
are,are,s
now,now,s
on,on,n
foot,foot,,topic_15,0,freq3,0,ig5,0,sal5,0
",",",",s
you,you,s
shall,shall,s
see,see,
",",",",s
as,as,s
I,i,s
have,have,s
said,said,
",",",",s
great,great,n,topic_3,0,freq1,0,ig5,0,sal1,0
difference,difference,s,topic_13,0,freq3,0,ig4,0,sal2,0
betwixt,betwixt,s,topic_49,0,freq3,0,ig5,0,sal4,0
our,our,s
Bohemia,bohemia,s,topic_25,0,freq3,0,ig1,0,sal2,0
and,and,s
your,your,s
Sicilia,sicilia,,topic_25,0,freq4,0,ig1,0,sal3,0
.,.,n
I,i,s
think,think,
",",",",s
this,this,s
coming,coming,s,topic_7,0,freq3,0,ig5,0,sal4,0
summer,summer,,topic_43,0,freq3,0,ig4,0,sal2,0
",",",",s
the,the,s
King,king,s
of,of,s
Sicilia,sicilia,n,topic_25,0,freq4,0,ig1,0,sal3,0
means,means,s,topic_26,0,freq1,0,ig5,0,sal1,0
to,to,s
pay,pay,s,topic_20,0,freq1,0,ig5,0,sal1,0
Bohemia,bohemia,s,topic_25,0,freq3,0,ig1,0,sal2,0
the,the,s
visitation,visitation,s,topic_43,0,freq4,0,ig5,0,sal4,0
which,which,s
he,he,s
justly,justly,s,topic_26,0,freq5,0,ig5,0,sal5,0
owes,owes,s,topic_45,0,freq4,0,ig5,0,sal3,0
him,him,
.,.,n
Wherein,wherein,s
our,our,s
entertainment,entertainment,s,topic_44,0,freq3,0,ig5,0,sal3,0
shall,shall,s
shame,shame,s,topic_16,0,freq2,0,ig5,0,sal2,0
us,us,s
we,we,s
will,will,s
be,be,n
justified,justified,s,topic_3,0,freq5,0,ig5,0,sal5,0
in,in,s
our,our,s
loves,loves,,topic_5,0,freq2,0,ig5,0,sal3,0
;,;,s
for,for,s
indeed,indeed,
--,--,n
Beseech,beseech,s,topic_44,0,freq1,0,ig5,0,sal2,0
you,you,
",",",",
--,--,n
Verily,verily,,topic_46,0,freq5,0,ig5,0,sal5,0
",",",",s
I,i,s
speak,speak,s,topic_3,0,freq1,0,ig5,0,sal2,0
it,it,s
in,in,s
the,the,s
freedom,freedom,s,topic_10,0,freq3,0,ig5,0,sal3,0
of,of,s
my,my,s
knowledge,knowledge,,topic_44,0,freq3,0,ig5,0,sal3,0
:,:,n
we,we,s
cannot,cannot,s
with,with,s
such,such,s
magnificence,magnificence,,topic_20,0,freq5,0,ig4,0,sal5,0
--,--,
in,in,s
so,so,s
rare,rare,,topic_44,0,freq3,0,ig5,0,sal2,0
--,--,
I,i,s
know,know,n
not,not,s
what,what,s
to,to,s
say,say,
.,.,s
We,we,s
will,will,s
give,give,s,topic_45,0,freq1,0,ig5,0,sal3,0
you,you,s
sleepy,sleepy,s,topic_25,0,freq4,0,ig5,0,sal4,0
drinks,drinks,,topic_37,0,freq4,0,ig1,0,sal2,0
",",",",n
that,that,s
your,your,s
senses,senses,,topic_10,0,freq2,0,ig5,0,sal2,0
",",",",s
unintelligent,unintelligent,s,topic_3,0,freq5,0,ig4,0,sal5,0
of,of,s
our,our,s
insufficience,insufficience,,topic_43,0,freq5,0,ig4,0,sal5,0
",",",",n
may,may,
",",",",s
though,though,s
they,they,s
cannot,cannot,s
praise,praise,s,topic_16,0,freq4,0,ig5,0,sal5,0
us,us,
",",",",s
as,as,s
little,little,s
accuse,accuse,n,topic_22,0,freq4,0,ig5,0,sal5,0
us,us,
.,.,n
You,you,s
